previous_units,current_units,people,acs,fans,fridges,tvs,month,bill
195,282.5,2,1,6,2,1,3,3243.57
281,298.7,4,2,5,2,3,7,4225.92
485,542.1,7,0,5,1,3,7,6437.66
435,441.3,5,2,5,2,4,3,5080.21
425,421.0,3,1,7,1,2,4,5317.9
258,179.5,4,3,1,2,2,11,2752.32
402,283.6,4,1,7,2,4,10,3404.48
223,224.7,2,0,1,1,0,3,2543.8
358,382.0,4,1,7,1,3,9,4378.82
337,267.0,5,3,2,2,4,2,3619.08
162,179.6,2,1,6,1,2,6,2691.86
169,192.8,5,2,1,2,1,1,2548.26
77,30.0,5,3,4,2,3,8,1444.36
112,67.9,4,1,4,2,4,3,1411.35
245,293.5,3,2,7,2,1,3,3381.02
265,312.1,4,0,1,1,2,3,3421.6
124,63.2,6,1,1,2,0,3,1116.29
237,268.1,2,1,5,2,1,1,3139.68
321,412.6,5,2,1,1,3,7,5171.74
154,228.4,5,3,6,1,2,11,2969.86
202,215.3,3,1,1,1,0,4,2933.71
215,202.2,3,1,7,1,1,10,2464.27
277,252.9,7,3,4,1,0,7,3921.5
214,266.7,3,1,7,1,3,4,3586.91
381,414.7,5,2,1,2,4,1,4615.31
197,261.1,2,2,2,1,0,10,3192.66
245,274.2,7,0,4,1,1,1,3115.27
220,297.3,5,3,1,1,4,6,4249.01
132,158.6,6,1,1,2,4,1,2346.09
358,432.9,5,2,3,1,3,10,4946.63
155,236.0,3,1,6,1,3,12,2844.43
183,146.7,3,3,5,2,4,4,2728.74
406,299.4,5,2,1,1,1,4,4055.29
476,604.0,7,0,1,1,4,7,7018.37
351,389.0,1,0,5,2,4,7,4872.48
462,362.0,6,3,3,2,1,5,5212.56
434,404.0,6,2,6,2,0,5,4984.6
266,340.0,1,1,3,2,2,3,3797.86
396,396.4,1,0,3,1,3,4,4878.38
197,181.2,5,0,2,2,4,8,2252.73
257,375.1,6,3,2,1,0,9,4397.51
290,236.7,3,3,5,1,1,10,3247.21
482,446.1,5,1,4,2,3,7,5616.75
431,465.8,7,0,5,1,0,10,5034.29
270,317.3,3,1,1,1,3,8,3353.02
343,397.7,2,0,4,2,1,5,4755.4
141,224.8,7,2,4,1,0,5,3226.98
411,444.9,2,2,7,2,1,7,5575.49
298,352.3,4,3,3,1,3,4,4820.58
289,290.9,4,1,1,2,4,10,3556.06
394,418.4,4,0,5,1,0,3,4523.32
334,361.5,2,0,2,1,2,1,3863.16
82,117.1,5,1,7,1,1,6,1798.95
179,253.1,5,2,3,2,3,1,2973.72
129,187.9,2,0,6,1,3,3,2204.19
380,403.1,4,3,5,2,4,5,5479.53
65,30.0,1,1,4,1,1,1,802.23
141,165.7,2,3,5,2,1,3,2659.88
318,336.0,7,1,2,2,1,7,4428.84
362,395.5,4,0,1,2,3,5,4879.78
276,450.5,5,0,6,1,2,11,4689.49
437,420.3,7,2,7,2,0,2,4877.75
463,512.6,5,2,7,2,4,9,5991.52
109,203.8,6,3,3,2,0,8,2644.05
478,504.9,5,3,3,1,4,8,5597.72
326,509.6,4,0,3,2,0,9,4942.18
336,329.5,5,1,5,2,2,1,4008.92
92,134.7,3,0,5,2,1,10,1819.08
329,293.1,7,0,6,1,3,4,3858.6
376,371.4,2,0,7,2,2,8,3923.96
311,348.4,7,0,3,2,1,4,4545.72
88,167.2,7,2,5,1,2,5,2732.08
285,327.3,1,0,4,2,4,9,3692.41
471,579.1,5,0,7,2,1,12,5894.91
375,388.4,7,0,3,1,1,11,4228.87
111,107.7,5,2,2,2,0,9,1827.76
481,650.0,3,2,3,2,3,7,7631.49
481,528.6,7,3,5,1,3,7,6803.0
126,95.6,4,0,7,2,3,12,1392.3
410,381.4,1,0,6,1,0,3,4088.79
233,187.0,2,1,1,1,3,12,2458.45
317,402.6,5,2,4,2,4,8,4677.21
250,244.5,4,0,2,2,4,8,2926.83
402,430.9,2,0,3,2,4,8,4507.52
498,513.6,6,1,7,2,1,10,5747.98
407,478.2,1,0,7,1,3,9,4995.75
469,429.7,2,1,2,2,2,2,4849.19
475,419.7,4,3,1,1,2,10,5051.78
90,125.7,1,2,5,1,1,9,1816.67
164,226.1,3,1,3,1,3,11,2706.1
374,417.3,7,1,4,2,4,12,4750.42
315,278.3,7,3,7,2,3,12,3616.48
72,139.4,7,2,7,1,4,1,2021.44
92,59.9,3,2,7,2,4,8,1317.91
284,267.5,1,3,6,2,0,12,3396.26
327,280.9,6,0,7,2,4,12,3322.97
125,236.1,3,0,6,2,4,7,2890.01
127,191.3,6,1,7,1,2,11,2465.31
108,170.3,1,1,4,1,3,11,2088.99
304,411.3,5,0,1,2,3,1,4413.37
53,269.9,5,0,6,2,3,11,3127.22
307,207.4,7,3,7,2,4,8,3235.48
264,232.3,1,2,3,1,0,7,3213.19
259,235.9,3,2,3,2,0,3,3062.52
355,315.4,7,0,5,1,1,12,3576.75
285,229.6,3,1,5,1,2,4,3243.47
377,376.0,5,2,5,1,4,6,4936.83
393,327.8,2,2,3,1,3,4,4410.74
464,507.5,6,2,6,1,0,12,5511.58
409,432.6,2,2,6,2,3,6,5676.61
282,335.7,5,1,7,1,2,2,3853.23
271,326.5,7,3,5,1,1,1,4204.91
156,218.2,5,1,1,1,3,12,2686.45
319,312.9,4,0,6,2,1,3,3547.18
112,280.5,2,3,1,2,3,10,3276.59
469,505.4,3,0,2,2,0,1,5027.67
430,319.6,6,1,2,2,1,11,3746.55
103,52.8,2,0,2,1,2,8,883.86
403,301.2,5,0,6,1,3,3,3209.84
102,123.2,4,1,4,1,4,11,1678.71
374,385.5,3,0,2,1,1,4,4824.1
89,76.2,6,1,1,2,4,12,1492.96
269,429.8,3,3,2,1,4,8,4693.69
346,404.4,3,0,5,2,1,6,4923.26
377,447.8,4,3,6,1,0,1,4795.17
238,192.8,6,1,3,1,1,4,2925.83
464,414.1,7,2,1,2,3,1,4969.39
398,420.6,5,1,4,1,3,11,4585.79
143,175.1,5,1,6,2,3,2,2143.87
352,242.1,6,0,1,2,3,2,2916.6
378,385.4,2,2,6,2,0,2,4527.22
200,221.0,2,3,2,1,2,12,2914.11
382,386.9,4,2,2,2,4,12,4283.11
454,417.1,5,2,5,2,1,9,5086.83
417,399.2,5,2,1,1,4,1,4410.65
393,400.6,2,1,3,2,0,7,4952.28
335,361.4,6,0,1,2,4,12,3817.63
171,233.3,3,2,2,1,3,2,2728.23
407,502.7,7,3,6,2,3,10,5634.95
213,212.4,6,1,2,2,3,1,2787.58
289,277.1,7,3,1,1,4,10,3750.63
191,241.6,5,3,2,2,1,7,3568.82
190,252.8,4,0,1,2,0,11,2634.41
120,109.6,2,2,5,1,4,5,2144.42
482,557.3,3,2,7,1,0,10,5964.44
116,204.6,7,1,2,2,3,11,2584.53
88,198.4,3,2,6,1,1,4,2897.31
471,615.5,1,3,3,2,4,8,6500.65
299,258.4,2,2,1,2,4,6,3731.2
247,268.0,5,3,5,2,2,6,3991.45
381,401.8,5,3,2,1,2,10,4786.3
222,235.1,7,3,4,1,2,3,3447.92
107,81.6,7,3,4,1,2,2,1804.68
378,294.0,4,0,5,2,4,6,3968.42
129,155.5,4,0,1,1,1,10,1888.5
298,264.2,6,0,2,1,4,2,2992.21
477,503.0,1,0,6,1,3,5,6027.13
471,435.4,5,2,7,2,4,9,5110.56
212,155.0,4,2,1,2,3,6,2611.33
401,437.4,6,1,3,2,4,8,4923.14
325,355.6,6,0,7,1,2,7,4477.65
265,325.5,5,2,3,1,2,10,3652.1
112,285.0,5,1,4,1,1,11,3151.68
219,258.4,5,3,7,1,1,6,3874.92
343,397.0,5,0,7,1,0,6,4935.63
493,437.6,2,1,5,2,1,4,5622.87
52,30.0,2,0,5,1,4,6,907.35
372,502.8,6,1,5,1,4,11,5244.69
430,385.4,5,3,2,2,3,7,5341.87
478,424.9,2,1,7,2,1,9,4754.57
240,257.3,7,1,1,1,2,6,3575.39
103,116.7,7,1,1,2,3,9,1840.6
171,127.8,5,1,5,1,0,9,1877.47
432,430.7,2,2,6,2,4,7,5733.63
445,551.1,7,3,6,1,4,12,6023.75
336,299.6,2,2,5,1,4,11,3929.29
105,30.0,4,2,3,2,0,2,1228.57
104,190.0,7,1,3,1,4,3,2274.35
265,319.5,4,0,3,1,3,12,3453.81
314,290.6,2,2,2,1,2,5,4060.71
64,30.0,1,3,3,2,0,4,1283.8
358,325.9,3,2,1,2,2,10,3668.37
295,311.2,5,0,3,1,1,8,3263.91
55,156.6,6,2,7,2,4,2,2362.15
93,40.4,2,3,5,1,1,2,1090.65
254,268.1,2,0,1,2,1,10,2752.16
375,442.3,5,0,3,1,4,10,4677.95
421,274.3,2,2,2,1,0,5,3894.28
244,336.4,1,1,2,1,4,11,3529.5
182,119.2,4,2,5,1,4,2,1958.71
485,528.2,4,2,7,1,1,11,5535.07
256,293.3,2,1,5,1,3,1,3384.13
191,286.9,2,0,4,1,3,8,2944.17
249,307.6,2,2,2,2,2,11,3492.54
55,30.0,3,1,2,1,3,8,947.61
185,150.1,1,3,6,1,0,10,2251.74
281,310.7,1,1,5,2,2,5,3941.28
463,469.4,3,0,4,1,2,4,5362.09
382,435.4,1,3,5,2,2,4,5707.78
401,476.3,3,2,6,2,4,2,5252.98
295,357.6,5,2,6,2,4,4,4760.15
99,104.0,1,3,1,2,3,3,1701.12
225,115.8,5,3,3,2,2,10,2186.73
498,486.1,5,3,1,1,2,3,5532.41
69,118.1,5,3,3,2,0,2,1993.33
445,388.7,5,1,5,2,2,9,4633.65
358,422.2,6,0,2,2,1,7,5178.56
177,260.6,1,2,2,1,4,3,3038.34
400,428.9,2,3,4,1,3,9,4964.42
426,231.5,3,3,4,1,4,3,3337.63
69,30.0,5,2,5,2,4,10,1226.22
97,249.0,7,2,1,1,2,1,3115.04
349,330.7,7,2,2,2,2,8,3884.12
499,380.1,5,0,6,1,3,8,4282.5
60,166.5,3,0,5,1,2,5,2348.5
349,369.9,3,0,7,2,1,9,4027.34
111,208.3,1,3,6,2,3,5,3141.94
342,381.4,4,3,6,2,2,8,4319.04
330,382.1,4,1,4,2,4,3,3968.77
90,135.4,2,1,7,2,1,7,2401.21
356,424.8,6,1,3,2,2,10,4658.78
453,632.4,6,0,7,1,2,12,6245.36
438,526.0,3,1,3,2,4,5,6379.08
63,30.0,7,1,4,2,2,6,1119.77
160,211.3,1,2,5,2,0,6,3001.3
158,257.9,7,3,3,2,1,11,3189.5
253,357.2,6,0,2,2,4,12,3654.96
114,104.1,2,1,7,1,1,8,1346.13
434,535.5,5,3,4,2,1,10,5683.56
399,483.9,3,3,7,2,0,2,5509.68
413,613.1,6,3,3,1,3,10,6368.4
139,106.5,2,2,7,2,0,10,1879.29
56,40.5,2,0,5,2,1,9,996.95
459,457.6,3,3,6,2,3,8,5283.88
180,165.7,2,2,6,2,4,11,2370.78
345,302.7,3,3,2,1,1,8,3750.09
459,285.6,5,3,6,2,1,11,3835.83
66,55.6,5,1,7,2,0,3,1389.35
52,97.9,4,0,5,1,2,8,1596.0
52,37.5,2,2,7,2,4,6,1573.17
120,275.5,2,1,6,1,1,11,2737.72
73,93.9,7,0,5,2,1,11,1413.43
418,528.4,2,1,4,2,1,11,5442.75
322,360.3,1,3,7,2,4,3,4358.42
491,568.8,4,1,2,2,2,6,6577.44
410,449.5,1,1,4,1,3,1,4543.07
483,598.8,3,2,6,1,3,12,6440.7
157,180.9,6,2,7,2,3,4,2923.95
179,233.7,2,1,2,1,2,8,2503.88
432,477.6,5,3,1,2,2,6,6044.3
160,159.8,4,2,3,1,2,11,2305.38
75,123.3,3,0,7,2,0,10,1522.75
351,527.4,5,1,4,2,2,10,5475.93
410,411.1,5,3,1,1,4,8,4672.34
485,534.4,3,0,1,1,0,2,5139.47
467,575.0,2,0,3,1,4,12,5908.69
104,203.8,7,2,3,2,2,1,2719.89
397,417.8,2,1,1,1,1,6,5043.55
430,283.2,7,1,4,2,0,5,4023.31
364,420.2,4,1,4,1,3,5,5386.65
418,282.6,7,0,2,2,0,12,3435.21
427,549.9,3,1,2,2,2,3,5780.16
250,281.9,4,0,5,1,0,7,3473.43
68,158.0,5,2,7,1,4,3,2260.09
255,211.9,3,2,7,1,0,11,2846.45
140,51.3,2,3,4,2,4,9,1464.85
101,139.3,4,0,1,2,2,5,2005.72
106,123.6,5,1,7,2,0,1,1781.08
363,348.6,2,1,7,2,3,2,4030.94
277,302.9,6,2,2,2,4,3,3529.83
292,505.7,5,2,3,1,1,5,6117.99
385,463.4,2,3,1,1,4,11,5151.3
296,389.5,7,3,6,2,3,2,4603.42
333,412.1,1,3,6,2,3,7,5467.7
88,211.6,5,0,1,2,1,5,2645.38
433,439.7,4,0,5,2,0,1,4559.68
251,127.2,5,3,3,1,2,8,2330.21
119,125.8,6,3,4,2,4,9,2286.79
415,491.8,5,1,2,2,2,12,5141.06
380,332.1,5,0,6,1,3,7,4233.67
73,80.7,6,2,3,1,3,4,1786.95
136,107.6,5,2,6,2,1,11,1832.08
57,182.1,6,3,2,1,0,3,2639.98
171,243.5,3,2,5,1,4,9,3036.57
94,159.6,2,3,3,1,3,12,2287.34
369,432.5,2,3,7,2,2,1,4828.47
285,302.4,5,0,4,1,2,12,3426.3
491,524.8,4,0,6,1,4,3,5376.4
387,324.0,1,3,1,1,3,6,4441.75
325,191.9,2,0,5,1,3,4,2896.39
279,309.5,7,0,1,1,3,2,3458.23
74,116.7,6,3,3,2,1,9,1718.16
81,185.6,6,0,2,1,3,6,2451.86
327,457.0,2,0,1,1,4,7,5272.57
51,180.9,1,0,5,2,1,6,2262.21
69,30.0,3,1,2,2,2,9,969.04
148,143.3,6,2,4,2,3,12,2019.84
447,500.6,4,2,6,2,2,7,5970.92
256,453.2,6,3,2,1,4,2,4873.66
369,492.6,4,2,5,1,2,4,6092.27
235,333.4,4,3,3,1,1,6,4090.57
127,119.9,5,0,3,1,0,2,1498.98
217,175.2,7,1,5,2,4,3,2268.11
91,166.2,4,1,5,1,3,3,2107.12
396,339.0,5,0,5,2,2,12,4065.57
132,135.3,7,3,2,2,2,5,2583.22
219,231.0,3,0,5,2,2,11,2669.82
491,622.5,6,1,2,2,4,7,7490.3
316,311.2,4,1,2,2,3,7,4136.58
256,105.3,7,0,7,1,4,12,1791.47
294,349.3,4,3,1,2,4,9,4275.35
402,373.1,5,0,3,2,3,3,4162.19
164,187.0,3,0,4,2,2,4,2611.87
336,349.9,5,1,2,1,1,8,3863.98
442,442.8,3,0,6,2,3,1,4679.17
307,382.3,5,3,4,2,3,2,4612.52
250,162.7,6,0,6,1,2,1,2164.76
115,98.8,4,1,3,2,0,9,1720.98
161,228.9,4,1,7,1,4,6,3073.69
475,452.0,3,0,6,1,4,1,4980.57
293,200.4,6,0,3,2,1,9,2604.39
185,251.8,5,2,7,2,2,8,3056.53
238,336.6,4,0,7,1,0,9,3606.93
310,326.9,1,0,5,1,4,2,3441.14
291,173.7,1,1,1,1,1,11,2270.89
364,433.4,1,1,5,2,1,3,4530.43
165,68.8,6,1,5,1,2,7,1661.01
342,383.6,6,3,3,2,1,7,5321.38
249,206.9,1,1,2,1,3,3,2601.42
473,411.8,1,2,4,2,4,5,5294.63
121,110.1,6,3,6,1,4,1,1946.57
116,123.2,4,0,3,1,2,6,1901.46
257,231.9,3,2,4,1,0,9,2961.21
278,339.2,5,1,1,2,4,4,4297.25
360,348.8,2,2,5,2,1,7,4854.16
231,319.6,2,0,7,1,4,12,3517.65
461,500.7,3,1,6,1,1,3,5201.72
263,234.2,7,0,4,2,2,4,3187.15
108,67.4,6,3,1,1,2,2,1570.81
103,30.0,2,2,4,1,2,7,1214.37
488,528.4,4,0,7,1,0,3,5568.82
110,105.2,7,2,1,2,2,11,1958.61
476,329.9,7,3,2,1,2,4,4871.88
175,157.5,6,2,6,1,4,8,2469.85
92,48.9,1,1,4,1,2,3,1166.36
187,317.3,2,3,2,2,4,4,4305.97
326,226.8,2,0,1,2,1,3,2722.32
242,161.1,2,0,3,2,1,7,2445.44
403,500.7,2,0,5,1,0,1,5067.84
324,439.0,3,3,6,1,3,1,4828.93
230,197.9,4,2,7,1,0,7,2998.81
335,310.8,3,2,4,2,1,7,4247.03
487,550.1,3,2,3,1,4,4,6657.1
235,92.1,2,1,7,2,3,6,1808.41
119,30.0,2,0,6,1,2,5,1069.88
233,233.3,7,3,2,1,4,10,3226.63
428,556.5,5,3,5,1,3,6,6791.99
147,136.5,2,0,6,2,4,11,1818.78
477,504.1,6,0,2,2,3,3,5257.62
314,413.4,6,2,7,2,2,3,4699.23
320,487.5,7,0,3,1,0,5,5500.97
192,171.6,2,2,4,2,1,1,2223.21
464,482.8,5,3,4,2,3,9,5577.3
66,213.5,7,1,5,1,1,5,2729.17
184,97.4,6,1,7,2,3,5,2052.27
238,329.9,2,3,3,2,0,7,4383.81
264,212.7,7,1,3,1,0,1,2701.29
263,290.2,3,0,6,1,1,5,3679.3
116,119.0,4,0,7,1,1,12,1824.97
151,103.9,4,3,7,2,4,8,1878.56
92,43.2,6,3,6,1,1,7,1758.31
307,346.3,1,0,5,1,2,7,3883.92
207,296.7,4,3,6,2,2,6,4384.57
304,314.9,6,0,7,1,1,12,3269.99
315,339.9,4,0,1,1,4,12,3939.61
365,425.0,2,1,5,1,3,5,5170.61
296,248.0,1,1,1,2,0,12,3063.54
341,412.8,4,3,5,1,1,1,4832.08
314,391.4,5,2,3,1,0,4,4928.16
343,545.3,4,0,3,2,1,4,6150.36
327,320.7,7,2,7,1,3,9,3830.46
192,179.9,5,3,5,2,4,8,2832.35
160,233.8,4,2,4,1,2,6,3261.63
404,481.3,1,0,7,2,0,4,5538.75
204,186.5,4,0,1,2,0,7,2628.35
297,288.8,2,1,5,2,2,4,3762.53
138,195.9,6,1,2,1,1,6,2726.05
244,206.1,2,1,2,1,2,5,2926.45
288,279.3,7,0,2,2,0,11,3103.46
331,357.3,3,0,4,1,1,9,3715.84
286,375.7,4,2,5,1,2,3,4394.27
212,189.7,2,3,6,2,1,12,2703.25
482,373.0,2,2,4,2,1,8,4342.12
280,165.8,7,1,7,2,1,5,2823.94
413,344.8,2,3,3,2,0,7,4859.58
381,309.1,4,2,2,2,1,3,3635.58
301,310.2,7,2,1,1,1,1,3738.92
448,384.8,5,2,1,1,4,6,5182.45
107,77.8,1,3,4,2,4,10,1468.78
464,429.8,3,2,3,2,2,5,5801.18
432,421.2,3,2,6,1,1,5,5614.74
276,388.6,2,2,1,1,2,12,4097.45
380,446.3,2,3,2,1,3,12,4830.27
284,305.1,4,3,7,2,1,6,4427.1
170,157.7,3,1,1,2,3,1,1950.27
409,398.7,3,2,3,1,4,9,4690.64
160,202.9,3,0,2,1,2,9,2235.91
191,251.9,3,2,4,2,0,11,3244.33
283,239.5,2,3,7,1,0,12,3074.3
426,448.6,4,2,2,1,4,8,4952.88
222,99.8,7,1,3,1,2,2,1927.72
272,306.8,4,2,4,2,1,3,3601.53
68,141.4,5,1,6,2,3,9,2022.32
102,102.4,7,1,7,1,4,8,1880.16
75,222.2,5,0,1,1,2,6,2673.36
82,40.3,2,2,4,2,1,5,1202.11
440,475.2,3,0,6,2,4,9,4826.77
428,445.5,4,1,1,1,0,6,5494.14
419,432.0,4,3,6,1,4,2,5068.68
75,87.0,2,3,2,2,2,12,1806.78
84,111.5,1,1,4,1,0,5,1732.45
176,255.4,3,3,7,1,1,4,3529.16
304,420.4,7,0,5,2,3,1,4174.09
200,219.8,6,3,7,1,3,6,3870.87
269,346.1,6,1,5,1,0,12,3883.82
127,97.9,2,3,2,2,3,2,1865.4
378,451.6,3,3,5,1,4,3,5127.3
191,157.7,5,2,5,1,3,3,2179.26
79,175.3,4,2,3,2,3,2,2256.25
384,558.7,3,2,1,1,0,8,5916.71
456,467.5,3,0,5,2,3,4,5741.97
56,30.0,1,0,5,2,3,10,715.57
246,227.6,7,1,6,2,0,5,3195.61
422,528.2,7,1,1,2,1,8,5464.01
367,425.7,1,2,4,1,4,2,4625.41
435,472.4,3,1,6,2,4,4,6125.71
236,326.6,4,2,7,1,0,5,4279.99
217,270.9,6,0,7,1,3,1,2943.13
369,474.2,7,0,2,1,2,6,5590.68
119,203.4,3,3,2,2,2,6,3149.77
157,283.5,6,3,5,2,2,5,3910.73
320,365.1,7,3,4,2,4,7,5159.95
350,433.4,6,1,2,2,2,10,4814.69
103,101.5,3,2,1,1,2,10,1673.55
278,255.9,6,2,2,2,3,1,3190.31
214,353.5,3,1,3,2,2,8,3727.82
275,310.1,1,2,6,1,4,11,3436.04
481,557.3,6,2,1,1,1,11,5889.34
84,112.7,6,1,1,1,4,4,1988.41
497,475.9,3,1,2,2,3,10,5030.54
252,272.8,4,1,7,1,4,10,3483.87
397,517.5,3,3,7,2,1,5,6624.84
241,299.9,1,3,4,2,2,11,3413.97
189,89.2,7,3,1,1,0,8,1650.54
396,400.9,1,3,1,1,4,10,4471.77
359,503.8,4,1,7,1,4,9,5462.42
114,119.0,1,3,4,1,1,10,2037.79
367,261.0,5,0,1,1,0,12,3210.17
388,540.5,7,3,6,2,3,11,5978.04
224,291.8,5,1,4,1,3,6,3810.45
466,481.1,5,1,3,2,2,7,5819.04
338,332.0,6,0,4,2,0,8,3719.97
200,295.8,7,0,2,2,4,11,3258.73
54,36.1,7,1,7,2,2,5,1301.82
353,453.4,2,2,6,1,3,4,5841.01
144,202.0,4,0,2,2,4,9,2355.66
390,427.1,6,3,6,2,2,12,5166.17
286,316.2,3,0,2,1,0,11,3145.36
260,267.8,5,3,4,1,4,2,3802.14
123,216.2,1,1,6,2,3,12,2524.6
370,329.4,7,1,1,2,4,10,3972.16
124,30.5,5,0,6,1,3,2,1066.57
237,300.0,6,3,2,2,4,1,3696.81
426,490.2,6,2,5,1,4,3,5501.01
464,517.6,2,0,4,2,1,12,5373.78
495,543.5,4,0,1,2,0,10,5420.46
481,478.6,7,2,6,1,0,7,6058.47
300,375.1,2,3,2,2,3,8,4335.45
140,156.8,6,0,7,1,1,5,2311.27
427,412.9,3,0,6,2,2,11,4606.37
410,408.2,5,2,2,2,3,2,4752.29
495,650.0,4,0,5,2,2,4,7437.8
342,240.6,5,1,3,1,0,3,3060.65
113,168.0,6,0,5,1,1,11,1805.48
276,178.5,3,1,4,2,0,7,2697.19
251,263.4,2,2,3,2,1,9,3228.81
429,418.6,3,1,5,1,3,12,4720.54
226,100.0,5,1,2,2,2,3,1786.57
197,244.2,6,1,7,2,3,12,3203.1
86,79.4,6,2,7,2,0,2,1733.41
425,298.1,3,0,2,1,3,10,3349.46
389,467.8,7,0,6,1,2,9,4881.71
68,188.5,1,0,7,1,1,10,2118.9
245,369.3,1,3,1,1,3,2,4077.5
265,310.1,1,2,6,1,0,12,3734.8
261,284.2,7,0,7,1,2,10,3121.79
463,576.0,2,1,2,1,2,2,5867.49
117,254.8,5,1,5,1,0,7,3382.42
187,286.3,6,0,6,2,4,10,3186.85
131,85.1,6,3,3,1,1,6,1985.75
159,193.1,7,3,2,1,0,5,3089.17
458,508.8,1,0,3,2,2,4,6040.04
473,366.3,3,0,3,2,4,7,4659.02
70,122.9,4,1,6,2,3,12,1687.14
334,513.1,5,2,3,1,3,8,5545.37
154,218.8,5,3,3,1,4,9,2983.84
136,259.1,4,1,7,2,0,10,3094.08
181,213.8,3,1,5,2,2,10,2727.51
137,151.9,1,0,7,1,1,5,2392.28
270,316.7,4,0,5,2,3,10,3623.65
498,460.9,2,0,7,2,4,4,5598.61
313,265.5,4,1,2,2,0,8,3219.43
375,483.6,6,2,7,2,0,4,6017.59
271,387.1,4,0,7,2,4,12,4061.63
56,30.0,5,0,1,1,2,9,614.7
87,174.8,1,3,3,2,1,8,2351.1
170,183.9,5,3,3,2,0,6,3103.8
159,202.8,4,2,3,1,1,7,2972.48
428,480.2,1,2,6,1,0,10,5009.44
429,518.6,2,2,5,1,1,4,6125.4
434,459.8,6,1,2,1,0,10,5159.5
336,454.7,7,0,5,2,0,4,5469.13
300,341.7,4,1,7,1,4,2,3774.71
342,405.7,7,2,4,2,3,9,4701.5
233,194.7,2,2,7,2,4,9,2985.61
351,522.1,3,2,5,2,1,5,6388.5
407,459.9,7,2,7,2,1,8,4843.03
393,462.9,2,0,7,2,1,9,5098.74
326,233.4,5,2,1,2,2,10,2879.39
76,38.4,2,3,6,1,0,12,1236.45
376,482.7,3,2,2,2,1,11,5015.94
214,254.1,4,2,6,1,4,6,3565.07
384,270.0,3,0,6,1,1,3,3187.22
292,384.7,7,3,2,2,3,2,4275.26
446,427.9,7,1,1,1,1,7,5379.53
202,320.8,4,1,3,1,4,8,3662.58
469,482.9,4,1,3,2,3,9,5099.99
430,464.3,1,0,4,2,4,1,4653.67
198,300.5,2,3,1,2,2,9,3546.2
267,224.2,1,2,1,2,4,10,2850.04
289,239.5,6,1,4,2,1,9,2947.28
395,401.2,2,3,6,2,2,7,5262.64
360,437.9,3,0,3,2,0,1,4545.1
433,359.8,6,1,3,1,0,6,4786.75
216,119.2,5,2,2,2,3,8,1938.07
277,354.7,5,0,2,2,1,7,4205.39
243,220.8,1,2,3,1,0,7,3175.53
459,451.5,4,3,2,1,1,7,5768.14
187,77.0,4,2,3,2,1,7,1906.28
314,286.5,3,0,2,2,3,4,3884.76
104,123.5,6,2,5,2,0,8,1975.08
432,517.1,7,1,3,1,0,4,6080.28
222,188.0,2,2,6,2,3,6,3062.48
203,339.0,3,2,5,2,0,5,4341.25
312,284.1,3,0,5,2,2,9,3211.85
274,246.2,6,0,5,1,3,11,2978.54
431,558.6,1,0,7,2,2,8,5686.77
289,323.8,7,0,2,1,0,2,3506.24
282,263.4,6,1,7,1,3,9,3234.66
97,106.1,4,0,2,2,0,4,1922.89
59,173.7,5,3,1,1,1,1,2512.33
229,351.6,7,3,6,1,0,3,4238.23
499,461.8,6,0,7,1,2,12,4987.51
462,479.0,2,1,1,1,3,6,5671.22
333,359.3,1,2,5,1,3,3,4210.24
333,284.0,5,2,4,2,0,2,3550.41
226,242.1,2,2,2,2,1,8,2905.18
129,149.4,1,3,4,2,0,10,2195.48
53,152.8,7,2,5,1,1,5,2367.69
202,306.5,4,2,5,1,1,2,3650.74
192,189.0,5,2,4,2,3,5,3116.62
136,141.0,2,2,7,2,3,8,2170.39
166,232.5,1,1,2,1,4,2,2662.57
61,40.0,1,2,5,2,1,4,1228.75
323,384.2,3,3,3,1,0,1,4117.47
467,480.8,1,1,7,2,0,6,5710.79
360,312.1,3,0,2,1,4,3,3374.45
251,204.0,3,2,7,1,4,3,2694.02
239,360.3,4,3,5,1,1,2,4183.93
188,197.1,5,3,2,1,4,9,2880.79
114,248.8,3,2,6,2,2,6,3432.48
319,303.0,4,3,2,2,0,12,3926.84
304,344.4,1,1,2,2,1,5,4209.07
53,240.5,3,1,3,1,1,3,2592.33
236,182.0,7,1,5,2,3,3,2553.34
175,62.2,7,1,3,1,0,12,1505.72
126,236.1,4,2,4,1,0,8,2834.61
366,328.1,7,3,4,2,3,4,4821.66
286,304.6,4,1,2,2,1,8,3269.93
335,314.0,1,0,2,1,1,7,3738.4
371,409.8,7,3,3,1,4,2,4943.84
491,444.5,3,3,2,2,4,9,4921.75
411,418.4,5,3,7,2,2,2,5111.27
329,380.5,5,1,3,1,4,3,4251.75
445,394.4,3,2,3,2,4,9,4490.53
264,235.0,6,2,5,2,2,6,3493.62
493,488.7,4,3,6,1,4,3,5803.32
392,312.0,3,3,5,2,0,1,4108.03
342,332.4,3,3,4,2,0,8,4016.92
456,484.3,6,1,7,2,4,9,5341.74
281,273.0,2,0,7,1,0,3,2948.52
374,375.0,1,0,2,2,3,5,4584.93
178,196.6,7,3,2,2,2,5,3169.92
483,457.1,3,3,3,2,3,11,5252.38
330,398.4,5,0,6,2,3,10,4488.91
401,521.5,6,1,7,1,0,4,6253.33
257,244.5,6,0,5,1,1,7,3153.17
